Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,SPY,TSLA
2019-05-31,108174400,92376000,68304200,31582000,10952800,15226500,26646800,5023400,389720000,86862800,156100500
2019-06-03,161584400,181974000,50109900,96890000,11680700,56059600,37983600,7849600,478644000,96428000,195966000
2019-06-04,123872000,113582000,58426400,60512000,12858600,46044300,29382600,7891600,641836000,77231900,207112500
2019-06-05,119093600,84796000,44874400,46988000,8340500,19758300,24926100,5020100,511616000,71169700,202662000
2019-06-06,90105200,73786000,38633600,29020000,8726700,12446400,21459000,3710000,408140000,69430400,303633000
2019-06-07,122737600,96164000,51317200,43828000,10618900,16917300,33885600,4777300,348856000,74272200,240052500
2019-06-10,104883600,107420000,48305800,28510000,11380600,14767900,26477100,7810300,402780000,60799100,158775000
2019-06-11,107731600,80854000,38691800,33508000,9847700,15266600,23913700,5396700,383872000,58641300,174802500
2019-06-12,73012800,53566000,33528900,23670000,9670500,17699800,17092500,4584700,358892000,47096300,227962500
2019-06-13,86698400,55916000,33404200,20814000,8406900,12253600,17200800,6209300,308080000,48945200,122524500
2019-06-14,75046000,57024000,37322100,24582000,9077400,16773700,17821700,5019000,394428000,52324700,111501000
2019-06-17,58676400,52686000,33410100,19770000,8128600,29459900,14517800,5358200,276040000,39205700,184752000
2019-06-18,106204000,77914000,60170700,34526000,11057300,37571400,25934500,5428500,581920000,85434800,190737000
2019-06-19,84496800,57906000,61953500,26714000,13126500,21417100,23744400,5667200,331644000,78674400,98626500
2019-06-20,86056000,64344000,60887200,24018000,13638000,14635700,33042600,5899500,350168000,116570000,177952500
2019-06-21,191202400,78672000,69444000,50774000,27089500,22751200,36727900,7448400,434428000,83309500,123031500
2019-06-24,72881600,45660000,40046400,24236000,13039600,15509000,20628800,4830200,282948000,47582700,86262000
2019-06-25,84281200,60246000,46901300,31644000,18660100,16750300,33327400,5750400,311868000,82028700,92731500
2019-06-26,104270000,48838000,42312300,34698000,10324600,12808600,23657700,3669700,584072000,51584900,127608000
2019-06-27,83598800,42834000,35575600,24078000,10906600,11159000,16557500,4138600,445440000,40355200,95095500
2019-06-28,124442400,60748000,101856900,33672000,21634700,16378900,30043000,4592700,397668000,59350900,102771000
2019-07-01,109012000,63842000,48029900,29196000,12724500,14181800,22613500,4992600,709756000,78705600,123201000
2019-07-02,67740800,52918000,32263500,20630000,10174900,9050000,15237800,3625000,400228000,61504500,138885000
2019-07-03,45448000,33806000,26642300,20154000,6849400,10246100,13629300,3799000,246636000,40898900,213016500
2019-07-05,69062000,52568000,33092000,29794000,7929400,11164100,18141100,3732200,396552000,51677300,105985500
2019-07-08,101354400,57668000,30924400,29888000,6917200,9723900,16779700,3113400,329788000,45841800,88207500
